City ID,City,Country,Date_Unix_format,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1,Albany,US,1547511420,1/15/2019 0:17,42.65,-73.75,21.92,56,90,3.36
2,Aransas Pass,US,1547512500,1/15/2019 0:35,27.91,-97.15,53.06,71,90,9.17
3,Bethel,US,1547510160,1/14/2019 23:56,60.79,-161.76,39.02,75,40,20.8
4,Bluefield,US,1547511780,1/15/2019 0:23,37.27,-81.22,32.9,96,90,5.82
5,California City,US,1547511360,1/15/2019 0:16,35.13,-117.99,45.5,93,90,14.99
6,Camp Verde,US,1547512500,1/15/2019 0:35,34.56,-111.85,51.8,70,90,5.53
7,Chico,US,1547510040,1/14/2019 23:54,39.73,-121.84,57.92,50,90,12.75
8,Dallas,US,1547511300,1/15/2019 0:15,32.78,-96.8,44.96,77,1,3.36
9,Elko,US,1547510160,1/14/2019 23:56,40.83,-115.76,30.02,58,1,10.29
10,Fairbanks,US,1547510280,1/14/2019 23:58,64.84,-147.72,-0.23,86,1,2.89
11,Farmington,US,1547509980,1/14/2019 23:53,36.73,-108.21,39.92,69,90,3.36
12,Ferry Pass,US,1547511300,1/15/2019 0:15,30.51,-87.21,43.52,76,90,11.41
13,Gloversville,US,1547511420,1/15/2019 0:17,43.05,-74.34,21.92,72,1,8.05
14,Hilo,US,1547509980,1/14/2019 23:53,19.71,-155.08,80.06,54,75,13.87
15,Kahului,US,1547510160,1/14/2019 23:56,20.89,-156.47,82.04,52,40,14.99
16,Kapaa,US,1547510160,1/14/2019 23:56,22.08,-159.32,82.04,58,40,12.75
17,Ketchikan,US,1547510160,1/14/2019 23:56,55.34,-131.65,46.04,95,90,4.7
18,Kodiak,US,1547510100,1/14/2019 23:55,39.95,-94.76,32,100,90,9.17
19,Lompoc,US,1547512440,1/15/2019 0:34,34.64,-120.46,57.02,93,90,6.93
20,Makakilo City,US,1547510220,1/14/2019 23:57,21.35,-158.09,82.04,60,90,9.17
21,Morgan City,US,1547512500,1/15/2019 0:35,29.7,-91.21,44.6,74,90,6.93
22,Nome,US,1547511300,1/15/2019 0:15,30.04,-94.42,50,66,1,5.82
23,Pacific Grove,US,1547512200,1/15/2019 0:30,36.62,-121.92,55.4,81,90,4.7
24,Palmer,US,1547510280,1/14/2019 23:58,61.6,-149.11,28.04,92,1,3
25,Pontiac,US,1547512560,1/15/2019 0:36,42.64,-83.29,30.02,54,1,3.36
26,Port Elizabeth,US,1547510160,1/14/2019 23:56,39.31,-74.98,32,66,1,4.7
27,Port Hueneme,US,1547511180,1/15/2019 0:13,34.15,-119.2,57.02,73,75,13.87
28,Portland,US,1547510160,1/14/2019 23:56,45.52,-122.67,50,46,20,6.93
29,Rawlins,US,1547512500,1/15/2019 0:35,41.79,-107.24,19.4,78,1,3.11
30,Ruidoso,US,1547511300,1/15/2019 0:15,33.33,-105.67,52.52,59,1,8.05
31,Shelton,US,1547512320,1/15/2019 0:32,47.22,-123.1,51.08,95,90,4.7
32,Sitka,US,1547513075,1/15/2019 0:44,37.17,-99.65,40.76,80,0,3.11
33,Stephenville,US,1547512500,1/15/2019 0:35,32.22,-98.2,46.4,67,90,3
34,Sterling,US,1547512500,1/15/2019 0:35,39,-77.4,28.94,86,1,4.9
35,Sumter,US,1547512500,1/15/2019 0:35,33.92,-80.34,44.06,93,40,2.28
36,The Colony,US,1547512500,1/15/2019 0:35,33.09,-96.89,44.96,74,1,3.36
37,Tooele,US,1547511300,1/15/2019 0:15,40.53,-112.3,28.04,86,90,3
38,Totness,US,1547512500,1/15/2019 0:35,33.74,-80.8,44.06,80,90,2.62
39,Traverse City,US,1547512560,1/15/2019 0:36,44.76,-85.62,33.08,77,90,9.17
40,Valparaiso,US,1547512860,1/15/2019 0:41,41.47,-87.06,26.6,83,90,11.41
41,Washington DC.,US,1547511780,1/15/2019 0:23,38.9,-77.04,30.02,94,1,4.34
42,Wasilla,US,1547510280,1/14/2019 23:58,61.58,-149.44,28.04,92,1,3
43,The Valley,AI,1547510400,1/15/2019 0:00,18.22,-63.06,77,69,20,8.05
44,Benguela,AO,1547513135,1/15/2019 0:45,-12.58,13.4,73.57,100,48,3.22
45,Luanda,AO,1547510400,1/15/2019 0:00,-8.83,13.24,77,83,20,5.82
46,Menongue,AO,1547513061,1/15/2019 0:44,-14.66,17.68,81.13,23,92,6.91
47,Namibe,AO,1547513087,1/15/2019 0:44,-15.19,12.15,72.04,100,32,5.41
48,Soyo,AO,1547513101,1/15/2019 0:45,-6.13,12.37,76.18,94,100,2.55
49,Barrow,AR,1547513068,1/15/2019 0:44,-38.31,-60.23,71.77,78,88,4.74
50,Bell Ville,AR,1547513073,1/15/2019 0:44,-32.63,-62.69,74.38,85,80,7.09
51,Humaita,AR,1547510400,1/15/2019 0:00,-24.93,-65.37,69.8,93,90,2.24
52,Mar del Plata,AR,1547512812,1/15/2019 0:40,-46.43,-67.52,78.11,21,20,14.14
53,Necochea,AR,1547512840,1/15/2019 0:40,-38.55,-58.74,71.95,65,88,10.11
54,Neuquen,AR,1547510400,1/15/2019 0:00,-38.95,-68.06,78.8,36,40,6.93
55,Presidencia Roque Saenz Pena,AR,1547513091,1/15/2019 0:44,-26.79,-60.44,80.05,88,44,4.23
56,Rio Tercero,AR,1547513095,1/15/2019 0:44,-32.17,-64.11,64.48,100,92,6.76
